pregunta;descripcionpregunta;valorpregunta;descripcionvalorpregunta
P_7;Código del barrio o vereda;0612;EL TRIUNFO
P_7;Código del barrio o vereda;0702;CERRO EL VOLADOR
P_7;Código del barrio o vereda;0703;SAN GERMÁN
P_7;Código del barrio o vereda;0705;FACULTAD DE MINAS UNIVERSIDAD NACIONAL
P_7;Código del barrio o vereda;0706;LA PILARICA
P_7;Código del barrio o vereda;0707;BOSQUES DE SAN PABLO
P_7;Código del barrio o vereda;0708;ALTAMIRA
P_7;Código del barrio o vereda;0709;CÓRDOBA
P_7;Código del barrio o vereda;0710;LÓPEZ DE  MESA
P_7;Código del barrio o vereda;0711;EL DIAMANTE
P_7;Código del barrio o vereda;0712;AURES Nº 2
P_7;Código del barrio o vereda;0713;AURES Nº 1
P_7;Código del barrio o vereda;0714;BELLO HORIZONTE
P_7;Código del barrio o vereda;0715;VILLA FLORA
P_7;Código del barrio o vereda;0716;PALENQUE
P_7;Código del barrio o vereda;0717;ROBLEDO
P_7;Código del barrio o vereda;0718;CUCARACHO
P_7;Código del barrio o vereda;0719;FUENTE CLARA
P_7;Código del barrio o vereda;0720;SANTA MARGARITA
P_7;Código del barrio o vereda;0722;OLAYA HERRERA
P_7;Código del barrio o vereda;0723;PAJARITO
P_7;Código del barrio o vereda;0724;MONTECLARO
P_7;Código del barrio o vereda;0725;NUEVA VILLA DE LA IGUANÁ
P_7;Código del barrio o vereda;0801;VILLA HERMOSA
P_7;Código del barrio o vereda;0802;LA MANSIÓN
P_7;Código del barrio o vereda;0803;SAN MIGUEL
P_7;Código del barrio o vereda;0804;LA LADERA
P_7;Código del barrio o vereda;0805;BATALLÓN GIRARDOT
P_7;Código del barrio o vereda;0806;LLANADITAS
P_7;Código del barrio o vereda;0807;LOS MANGOS
P_7;Código del barrio o vereda;0808;ENCISO
P_7;Código del barrio o vereda;0809;SUCRE
P_7;Código del barrio o vereda;0810;EL PINAL
P_7;Código del barrio o vereda;0811;TRECE DE NOVIEMBRE
P_7;Código del barrio o vereda;0812;LA LIBERTAD
P_7;Código del barrio o vereda;0813;VILLATINA
P_7;Código del barrio o vereda;0814;SAN ANTONIO
P_7;Código del barrio o vereda;0815;LAS ESTANCIAS
P_7;Código del barrio o vereda;0816;VILLA TURBAY
P_7;Código del barrio o vereda;0817;LA SIERRA
P_7;Código del barrio o vereda;0819;VILLA LILLIAM
P_7;Código del barrio o vereda;0901;JUAN PABLO II
P_7;Código del barrio o vereda;0902;BARRIOS DE JESÚS
P_7;Código del barrio o vereda;0903;BOMBONÁ Nº 2
P_7;Código del barrio o vereda;0904;LOS CERROS EL VERGEL
P_7;Código del barrio o vereda;0905;ALEJANDRO ECHAVARRÍA
P_7;Código del barrio o vereda;0906;BARRIO CAICEDO
P_7;Código del barrio o vereda;0907;BUENOS AIRES
P_7;Código del barrio o vereda;0908;MIRAFLORES
P_7;Código del barrio o vereda;0909;CATALUÑA
P_7;Código del barrio o vereda;0910;LA MILAGROSA
P_7;Código del barrio o vereda;0911;GERONA
P_7;Código del barrio o vereda;0912;EL SALVADOR
P_7;Código del barrio o vereda;0913;LORETO
P_7;Código del barrio o vereda;0914;LA ASOMADERA Nº 1
P_7;Código del barrio o vereda;0915;LA ASOMADERA Nº 2
P_7;Código del barrio o vereda;0916;LA ASOMADERA Nº 3
P_7;Código del barrio o vereda;0917;OCHO DE MARZO
P_7;Código del barrio o vereda;1001;PRADO
P_7;Código del barrio o vereda;1003;JESÚS NAZARENO
P_7;Código del barrio o vereda;1004;EL CHAGUALO
P_7;Código del barrio o vereda;1005;ESTACIÓN VILLA
P_7;Código del barrio o vereda;1006;SAN BENITO
P_7;Código del barrio o vereda;1007;GUAYAQUIL
P_7;Código del barrio o vereda;1008;CORAZÓN DE JESÚS
P_7;Código del barrio o vereda;1011;CALLE NUEVA
P_7;Código del barrio o vereda;1013;BARRIO COLÓN
P_7;Código del barrio o vereda;1014;LAS PALMAS
P_7;Código del barrio o vereda;1015;BOMBONÁ Nº 1
P_7;Código del barrio o vereda;1016;BOSTON
P_7;Código del barrio o vereda;1017;LOS ÁNGELES
P_7;Código del barrio o vereda;1018;VILLA NUEVA
P_7;Código del barrio o vereda;1019;LA CANDELARIA
P_7;Código del barrio o vereda;1020;SAN DIEGO
P_7;Código del barrio o vereda;1101;CARLOS E. RESTREPO
P_7;Código del barrio o vereda;1102;SURAMERICANA
P_7;Código del barrio o vereda;1103;NARANJAL
P_7;Código del barrio o vereda;1104;SAN JOAQUÍN
P_7;Código del barrio o vereda;1105;LOS CONQUISTADORES
P_7;Código del barrio o vereda;1107;BOLIVARIANA
P_7;Código del barrio o vereda;1108;LAURELES
P_7;Código del barrio o vereda;1109;LAS ACACIAS
P_7;Código del barrio o vereda;1110;LA CASTELLANA
P_7;Código del barrio o vereda;1111;LORENA
P_7;Código del barrio o vereda;1112;EL VELÓDROMO
P_7;Código del barrio o vereda;1113;ESTADIO
P_7;Código del barrio o vereda;1114;LOS COLORES
P_7;Código del barrio o vereda;1115;CUARTA BRIGADA
P_7;Código del barrio o vereda;1117;FLORIDA NUEVA
P_7;Código del barrio o vereda;1201;FERRINI
P_7;Código del barrio o vereda;1202;CALASANZ
P_7;Código del barrio o vereda;1203;LOS PINOS
P_7;Código del barrio o vereda;1204;LA AMÉRICA
P_7;Código del barrio o vereda;1205;LA FLORESTA
P_7;Código del barrio o vereda;1206;SANTA LUCÍA
P_7;Código del barrio o vereda;1207;EL DANUBIO
P_7;Código del barrio o vereda;1208;CAMPO ALEGRE
P_7;Código del barrio o vereda;1209;SANTA MÓNICA
P_7;Código del barrio o vereda;1210;BARRIO CRISTÓBAL
P_7;Código del barrio o vereda;1211;SIMÓN BOLÍVAR
P_7;Código del barrio o vereda;1212;SANTA TERESITA
P_7;Código del barrio o vereda;1213;CALASANZ PARTE ALTA
P_7;Código del barrio o vereda;1214;CALASANZ PARTE ALTA AE
P_7;Código del barrio o vereda;1301;EL PESEBRE
P_7;Código del barrio o vereda;1302;BLANQUIZAL
P_7;Código del barrio o vereda;1303;SANTA ROSA DE LIMA
P_7;Código del barrio o vereda;1304;LOS ALCÁZARES
P_7;Código del barrio o vereda;1305;METROPOLITANO
P_7;Código del barrio o vereda;1306;LA PRADERA
P_7;Código del barrio o vereda;1307;JUAN XXIII LA QUIEBRA
P_7;Código del barrio o vereda;1308;SAN JAVIER Nº 2
P_7;Código del barrio o vereda;1309;SAN JAVIER Nº 1
P_7;Código del barrio o vereda;1310;VEINTE DE JULIO
P_7;Código del barrio o vereda;1311;BELENCITO
P_7;Código del barrio o vereda;1312;BETANIA
P_7;Código del barrio o vereda;1313;EL CORAZÓN
P_7;Código del barrio o vereda;1314;LAS INDEPENDENCIAS
P_7;Código del barrio o vereda;1315;NUEVOS CONQUISTADORES
P_7;Código del barrio o vereda;1316;EL SALADO
P_7;Código del barrio o vereda;1317;EDUARDO SANTOS
P_7;Código del barrio o vereda;1318;ANTONIO NARIÑO
P_7;Código del barrio o vereda;1319;EL SOCORRO
P_7;Código del barrio o vereda;1401;BARRIO COLOMBIA
P_7;Código del barrio o vereda;1403;VILLA CARLOTA
P_7;Código del barrio o vereda;1404;CASTROPOL
P_7;Código del barrio o vereda;1405;LALINDE
P_7;Código del barrio o vereda;1406;LAS LOMAS Nº 1
P_7;Código del barrio o vereda;1407;LAS LOMAS Nº 2
P_7;Código del barrio o vereda;1408;ALTOS DEL POBLADO
P_7;Código del barrio o vereda;1409;EL TESORO
P_7;Código del barrio o vereda;1410;LOS NARANJOS
P_7;Código del barrio o vereda;1411;LOS BALSOS Nº 1
P_7;Código del barrio o vereda;1412;SAN LUCAS
P_7;Código del barrio o vereda;1413;EL DIAMANTE Nº 2
P_7;Código del barrio o vereda;1414;EL CASTILLO
P_7;Código del barrio o vereda;1415;LOS BALSOS Nº 2
P_7;Código del barrio o vereda;1416;ALEJANDRÍA
P_7;Código del barrio o vereda;1417;LA FLORIDA
P_7;Código del barrio o vereda;1418;EL POBLADO
P_7;Código del barrio o vereda;1419;MANILA
P_7;Código del barrio o vereda;1420;ASTORGA
P_7;Código del barrio o vereda;1421;PATIO BONITO
P_7;Código del barrio o vereda;1422;LA AGUACATALA
P_7;Código del barrio o vereda;1423;SANTA MARÍA DE LOS ÁNGELES
P_7;Código del barrio o vereda;1503;TRINIDAD
P_7;Código del barrio o vereda;1504;SANTA FÉ
P_7;Código del barrio o vereda;1507;CAMPO AMOR
P_7;Código del barrio o vereda;1509;CRISTO REY
P_7;Código del barrio o vereda;1510;GUAYABAL
P_7;Código del barrio o vereda;1511;LA COLINA
P_7;Código del barrio o vereda;1601;FÁTIMA
P_7;Código del barrio o vereda;1602;ROSALES
P_7;Código del barrio o vereda;1603;BELÉN
P_7;Código del barrio o vereda;1604;GRANADA
P_7;Código del barrio o vereda;1605;SAN BERNARDO
P_7;Código del barrio o vereda;1606;LAS PLAYAS
P_7;Código del barrio o vereda;1607;DIEGO ECHAVARRÍA
P_7;Código del barrio o vereda;1608;LA MOTA
P_7;Código del barrio o vereda;1609;LA HONDONADA
P_7;Código del barrio o vereda;1610;EL RINCÓN
P_7;Código del barrio o vereda;1611;LA LOMA DE LOS BERNAL
P_7;Código del barrio o vereda;1612;LA GLORIA
P_7;Código del barrio o vereda;1613;ALTAVISTA
P_7;Código del barrio o vereda;1614;LA PALMA
P_7;Código del barrio o vereda;1615;LOS ALPES
P_7;Código del barrio o vereda;1616;LAS VIOLETAS
P_7;Código del barrio o vereda;1617;LAS MERCEDES
P_7;Código del barrio o vereda;1618;NUEVA VILLA DEL ABURRÁ
P_7;Código del barrio o vereda;1619;MIRAVALLE
P_7;Código del barrio o vereda;1620;EL NOGAL-LOS ALMENDROS
P_7;Código del barrio o vereda;1621;CERRO NUTIBARA
P_7;Código del barrio o vereda;1694;ÁREA DE EXPANSIÓN EL NORAL
P_7;Código del barrio o vereda;1695;ÁREA DE EXPANSIÓN ALTAVISTA
P_7;Código del barrio o vereda;1696;ÁREA DE EXPANSIÓN BELÉN RINCÓN
P_7;Código del barrio o vereda;5000;CORREGIMIENTO PALMITAS
P_7;Código del barrio o vereda;5001;LA SUIZA
P_7;Código del barrio o vereda;5002;LA SUCIA
P_7;Código del barrio o vereda;5003;URQUITÁ
P_7;Código del barrio o vereda;5004;PALMITAS SECTOR CENTRAL
P_7;Código del barrio o vereda;5005;VOLCANA GUAYABAL
P_7;Código del barrio o vereda;5006;LA FRISOLA
P_7;Código del barrio o vereda;5007;LA ALDEA
P_7;Código del barrio o vereda;5008;POTRERA MISERENGA
P_7;Código del barrio o vereda;6000;CABECERA SAN CRISTÓBAL
P_7;Código del barrio o vereda;6001;LA PALMA
P_7;Código del barrio o vereda;6002;EL PATIO
P_7;Código del barrio o vereda;6003;EL UVITO
P_7;Código del barrio o vereda;6004;LA CUCHILLA
P_7;Código del barrio o vereda;6005;NARANJAL
P_7;Código del barrio o vereda;6006;BOQUERÓN
P_7;Código del barrio o vereda;6007;SAN JOSÉ DE LA MONTAÑA
P_7;Código del barrio o vereda;6008;LA ILUSIÓN
P_7;Código del barrio o vereda;6009;YOLOMBO
P_7;Código del barrio o vereda;6010;EL CARMELO
P_7;Código del barrio o vereda;6011;EL PICACHO
P_7;Código del barrio o vereda;6012;PAJARITO
P_7;Código del barrio o vereda;6013;PEDREGAL ALTO
P_7;Código del barrio o vereda;6014;LA LOMA
P_7;Código del barrio o vereda;6015;LAS PLAYAS
P_7;Código del barrio o vereda;6016;TRAVESÍAS
P_7;Código del barrio o vereda;6017;EL LLANO
P_7;Código del barrio o vereda;6018;SAN CRISTÒBAL
P_7;Código del barrio o vereda;6098;AREA EXPANSION PAJARITO
P_7;Código del barrio o vereda;6101;ASENTAMIENTO LA AURORA
P_7;Código del barrio o vereda;6102;AURORAS DE LA LIBERTAD
P_7;Código del barrio o vereda;6103;CANTARES
P_7;Código del barrio o vereda;6104;LA CASCADA
P_7;Código del barrio o vereda;6105;LA HUERTA
P_7;Código del barrio o vereda;6107;LA MACARENA
P_7;Código del barrio o vereda;6108;LA MONTAÑA
P_7;Código del barrio o vereda;6109;AUC1-LAS FLORES
P_7;Código del barrio o vereda;6111;MIRADOR DEL VALLE
P_7;Código del barrio o vereda;6112;PEDREGAL BAJO
P_7;Código del barrio o vereda;6113;AUC1-PUERTA DEL SOL
P_7;Código del barrio o vereda;6114;RENACERES
P_7;Código del barrio o vereda;6115;VILLA SURAMERICANA
P_7;Código del barrio o vereda;6116;ASENTAMIENTO LA AURORA
P_7;Código del barrio o vereda;7001;BUGA PATIO BONITO
P_7;Código del barrio o vereda;7002;AGUAS FRÍAS
P_7;Código del barrio o vereda;7003;EL CORAZÓN EL MORRO
P_7;Código del barrio o vereda;7004;SAN PABLO
P_7;Código del barrio o vereda;7005;ALTAVISTA SECTOR CENTRAL
P_7;Código del barrio o vereda;7006;LA ESPERANZA
P_7;Código del barrio o vereda;7007;SAN JOSÉ DEL MANZANILLO
P_7;Código del barrio o vereda;7008;EL JARDÍN
P_7;Código del barrio o vereda;8000;CABECERA DE SAN ANTONIO DE PRADO
P_7;Código del barrio o vereda;8001;LA FLORIDA
P_7;Código del barrio o vereda;8002;POTRERITO
P_7;Código del barrio o vereda;8003;MONTAÑITA
P_7;Código del barrio o vereda;8004;YARUMALITO
P_7;Código del barrio o vereda;8005;EL ASTILLERO
P_7;Código del barrio o vereda;8006;EL SALADO
P_7;Código del barrio o vereda;8007;LA VERDE
P_7;Código del barrio o vereda;8008;SAN JOSÉ
P_7;Código del barrio o vereda;8098;AREA EXPANSION SAN ANTONIO DE PRADO
P_7;Código del barrio o vereda;9000;CABECERA SANTA ELENA
P_7;Código del barrio o vereda;9001;LAS PALMAS
P_7;Código del barrio o vereda;9002;MEDIA LUNA
P_7;Código del barrio o vereda;9003;PIEDRAS BLANCAS - MATASANO
P_7;Código del barrio o vereda;9004;BARRO BLANCO
P_7;Código del barrio o vereda;9005;EL PLACER
P_7;Código del barrio o vereda;9006;SANTA ELENA SECTOR CENTRAL
P_7;Código del barrio o vereda;9007;EL CERRO
P_7;Código del barrio o vereda;9008;EL LLANO SE
P_7;Código del barrio o vereda;9009;EL PLAN
P_7;Código del barrio o vereda;9010;PIEDRA GORDA
P_7;Código del barrio o vereda;9011;MAZO
P_8;Dirección o instalación de energía de la vivienda;NULL;NULL
P_9_1;Teléfono fijo;NULL;NULL
P_9_2;Teléfono celular;NULL;NULL
P_10;Estrato de la Vivienda;NULL;NULL
P_11;Cuántos grupos de personas (hogares) cocinan por separado en esta vivienda? Número de Hogares;NULL;NULL
P_12;Cuántas personas componen este hogar?;NULL;NULL
P_13;;NULL;NULL
P_14;Nombre del encuestado;NULL;NULL
P_15;Sexo;1;Hombre
P_15;Sexo;2;Mujer
P_16;Nombre informante calificado;NULL;NULL
P_17;Parentesco con el jefe de este hogar;1;Jefe(a) del hogar
P_17;Parentesco con el jefe de este hogar;2;Cónyuge o compañera(o)
P_17;Parentesco con el jefe de este hogar;3;Hijos
P_17;Parentesco con el jefe de este hogar;4;Nieto(a)
P_17;Parentesco con el jefe de este hogar;5;Padre o Madre
P_17;Parentesco con el jefe de este hogar;6;Hermanos
P_17;Parentesco con el jefe de este hogar;7;Yerno, nuera
P_17;Parentesco con el jefe de este hogar;8;Abuelo(a)
P_17;Parentesco con el jefe de este hogar;9;Suegro(a)
P_17;Parentesco con el jefe de este hogar;10;Tio(a)
P_17;Parentesco con el jefe de este hogar;11;Sobrino(a)
P_17;Parentesco con el jefe de este hogar;12;Primo(a)
P_17;Parentesco con el jefe de este hogar;13;Cuñado(a)
P_17;Parentesco con el jefe de este hogar;14;Otros parientes (los no comprendidos en las categorias anteriores)
P_17;Parentesco con el jefe de este hogar;15;Servicio doméstico (siempre que sean residentes habituales)
P_17;Parentesco con el jefe de este hogar;16;Hijo(a) del servicio doméstico
P_17;Parentesco con el jefe de este hogar;17;No parientes (incluye pensionistas y amigos)
P_18;Años cumplidos;0;0 AÑOS
P_18;Años cumplidos;1;1 AÑO
P_18;Años cumplidos;2;2 AÑOS
P_18;Años cumplidos;3;3 AÑOS
P_18;Años cumplidos;4;4 AÑOS
P_18;Años cumplidos;5;5 AÑOS
P_18;Años cumplidos;6;6 AÑOS
P_18;Años cumplidos;7;7 AÑOS
P_18;Años cumplidos;8;8 AÑOS
P_18;Años cumplidos;9;9 AÑOS
P_18;Años cumplidos;10;10 AÑOS
P_18;Años cumplidos;11;11 AÑOS
P_18;Años cumplidos;12;12 AÑOS
P_18;Años cumplidos;13;13 AÑOS
P_18;Años cumplidos;14;14 AÑOS
P_18;Años cumplidos;15;15 AÑOS
P_18;Años cumplidos;16;16 AÑOS
P_18;Años cumplidos;17;17 AÑOS
P_18;Años cumplidos;18;18 AÑOS
P_18;Años cumplidos;19;19 AÑOS
P_18;Años cumplidos;20;20 AÑOS
P_18;Años cumplidos;21;21 AÑOS
P_18;Años cumplidos;22;22 AÑOS
P_18;Años cumplidos;23;23 AÑOS
P_18;Años cumplidos;24;24 AÑOS
P_18;Años cumplidos;25;25 AÑOS
P_18;Años cumplidos;26;26 AÑOS
P_18;Años cumplidos;27;27 AÑOS
P_18;Años cumplidos;28;28 AÑOS
P_18;Años cumplidos;29;29 AÑOS
P_18;Años cumplidos;30;30 A 34 AÑOS
P_18;Años cumplidos;31;35 A 39 AÑOS
P_18;Años cumplidos;32;40 A 44 AÑOS
P_18;Años cumplidos;33;45 A 49 AÑOS
P_18;Años cumplidos;34;50 A 54 AÑOS
P_18;Años cumplidos;35;55 A 59 AÑOS
P_18;Años cumplidos;36;60 A 64 AÑOS
P_18;Años cumplidos;37;65 A 69 AÑOS
P_18;Años cumplidos;38;70 A 74 AÑOS
P_18;Años cumplidos;39;75 A 79 AÑOS
P_18;Años cumplidos;40;80 Y MAS AÑOS
P_19;Fecha de nacimiento;NULL;NULL
P_20;Estado civil actual;1;Soltero(a)
P_20;Estado civil actual;2;Casado(a)
P_20;Estado civil actual;3;Viudo(a)
P_20;Estado civil actual;4;Separado o Divorciado(a)
P_20;Estado civil actual;5;No está casado y vive en pareja hace menos de 2 años
P_20;Estado civil actual;6;No está casado y vive en pareja hace 2 años o más
P_21;Si el cónyuge de ____ vive en este hogar, escriba el  No. de orden;-88;No aplica
P_21;Si el cónyuge de ____ vive en este hogar, escriba el  No. de orden;0;Si el conyuge o el padre no vive en esta vivienda
P_22;Si el parentesco es_de quién es hijo;-88;No aplica
P_22;Si el parentesco es_de quién es hijo;0;El cónyuge o el padre no vive en esta vivienda
P_23;De acuerdo con su cultura, pueblo o rasgos físicos, es o se reconoce como;-98;No sabe
P_23;De acuerdo con su cultura, pueblo o rasgos físicos, es o se reconoce como;1;Indígena
P_23;De acuerdo con su cultura, pueblo o rasgos físicos, es o se reconoce como;2;Negro(a), mulato, afrocolombiano, afrodescendiente
P_23;De acuerdo con su cultura, pueblo o rasgos físicos, es o se reconoce como;3;Mestizo
P_23;De acuerdo con su cultura, pueblo o rasgos físicos, es o se reconoce como;4;Blanco
P_23;De acuerdo con su cultura, pueblo o rasgos físicos, es o se reconoce como;5;Raizal -Sanandresano
P_23;De acuerdo con su cultura, pueblo o rasgos físicos, es o se reconoce como;6;Rom - Gitano
P_24;Ha vivido toda su vida en este municipio?;-99;No responde
P_24;Ha vivido toda su vida en este municipio?;-98;No sabe
P_24;Ha vivido toda su vida en este municipio?;1;Si
P_24;Ha vivido toda su vida en este municipio?;2;No
P_25_1;Cuánto tiempo hace que vive en este municipio desde la última vez? Años;-99;No responde
P_25_1;Cuánto tiempo hace que vive en este municipio desde la última vez? Años;-98;No sabe
P_25_1;Cuánto tiempo hace que vive en este municipio desde la última vez? Años;-88;No aplica
P_25_2;Cuánto tiempo hace que vive en este municipio desde la última vez? Meses;-99;No responde
P_25_2;Cuánto tiempo hace que vive en este municipio desde la última vez? Meses;-98;No sabe
P_25_2;Cuánto tiempo hace que vive en este municipio desde la última vez? Meses;-88;No aplica
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;-99;No responde
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;-98;No sabe
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;-88;No aplica
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;-77;Otra
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;1;Orden Público
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;2;Estudio
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;3;Búsqueda de trabajo
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;4;Venta de tierra
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;5;Razones familiares
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;6;Fenómeno natural
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;7;Motivos laborales
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;8;Razones de salud
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;9;Traslado del hogar
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;10;Nos quedaba cerca
P_26;Por qué causa Principalmente se vino a vivir a este municipio?;11;Nos pareció atractiva
P_27;Seleccione el tipo de causa de orden público, por el cual se vino del lugar en donde residía antes;-99;No responde
P_27;Seleccione el tipo de causa de orden público, por el cual se vino del lugar en donde residía antes;-98;No sabe
